college_id,course,year,round,quota,category,closing_marks
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,Open,645
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,OBC,632
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,EWS,624
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,SC,540
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,ST,410
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,NTD,615
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,NTC,605
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,NTB,575
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,VJA,595
gmc-grant-mumbai,MBBS,2024,CAP_R1,State,SEBC,622
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,Open,648
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,OBC,635
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,EWS,627
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,SC,545
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,ST,415
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,NTD,618
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,NTC,608
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,NTB,578
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,VJA,598
gmc-seth-gs-mumbai,MBBS,2024,CAP_R1,State,SEBC,625
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,Open,640
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,OBC,628
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,EWS,620
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,SC,535
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,ST,405
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,NTD,612
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,NTC,602
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,NTB,572
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,VJA,592
gmc-tnmc-mumbai,MBBS,2024,CAP_R1,State,SEBC,618
gmc-ltmmc-mumbai,MBBS,2024,CAP_R1,State,Open,638
gmc-ltmmc-mumbai,MBBS,2024,CAP_R1,State,OBC,626
